pos_id;track_id;pair_id;bird_num;path;bird_id;x;y;t;dp_10m
1;1;1;1;A;1;611933.31323;5728949.36779;40308;t
2;1;1;1;A;1;611934.51168;5728951.73089;40308.2;f
3;1;1;1;A;1;611935.6432;5728953.9915;40308.4;f
4;1;1;1;A;1;611936.95432;5728956.34671;40308.6;f
5;1;1;1;A;1;611938.41432;5728958.51382;40308.8;f
6;1;1;1;A;1;611940.07341;5728960.7655;40309;f
7;1;1;1;A;1;611941.87915;5728962.92992;40309.2;f
8;1;1;1;A;1;611943.76065;5728965.08565;40309.4;f
9;1;1;1;A;1;611945.77392;5728967.2443;40309.6;f
10;1;1;1;A;1;611947.79998;5728969.40314;40309.8;f
11;1;1;1;A;1;611949.82611;5728971.56207;40310;f
12;1;1;1;A;1;611951.72479;5728973.81917;40310.2;f
13;1;1;1;A;1;611953.54528;5728976.18561;40310.4;f
14;1;1;1;A;1;611955.29428;5728978.6618;40310.6;f
15;1;1;1;A;1;611956.97618;5728981.046;40310.8;f
16;1;1;1;A;1;611958.58922;5728983.4183;40311;f
17;1;1;1;A;1;611960.13315;5728985.78907;40311.2;f
18;1;1;1;A;1;611961.60798;5728988.1583;40311.4;f
19;1;1;1;A;1;611963.01371;5728990.526;40311.6;f
20;1;1;1;A;1;611964.28762;5728992.89067;40311.8;f
21;1;1;1;A;1;611965.4838;5728995.35459;40312;f
22;1;1;1;A;1;611966.54805;5728997.82608;40312.2;f
23;1;1;1;A;1;611967.59931;5729000.29707;40312.4;f
24;1;1;1;A;1;611968.58795;5729002.76676;40312.6;f
25;1;1;1;A;1;611969.57016;5729005.23633;40312.8;f
26;1;1;1;A;1;611970.4897;5729007.7045;40313;f
27;1;1;1;A;1;611971.40057;5729010.27336;40313.2;f
28;1;1;1;A;1;611972.43646;5729012.85525;40313.4;f
29;1;1;1;A;1;611973.42491;5729015.33544;40313.6;f
30;1;1;1;A;1;611974.53237;5729017.80768;40313.8;f
31;1;1;1;A;1;611975.71318;5729020.38252;40314;f
32;1;1;1;A;1;611976.90468;5729022.76624;40314.2;f
33;1;1;1;A;1;611978.2846;5729025.13337;40314.4;f
34;1;1;1;A;1;611979.74876;5729027.40149;40314.6;f
35;1;1;1;A;1;611981.53508;5729029.56551;40314.8;f
36;1;1;1;A;1;611983.54184;5729031.72403;40315;t
37;1;1;1;A;1;611985.82526;5729033.58608;40315.2;f
38;1;1;1;A;1;611988.32524;5729035.32082;40315.4;f
39;1;1;1;A;1;611990.91215;5729036.8455;40315.6;f
40;1;1;1;A;1;611993.63554;5729038.15057;40315.8;f
41;1;1;1;A;1;611996.43503;5729039.4366;40316;f
42;1;1;1;A;1;611999.31034;5729040.42171;40316.2;f
43;1;1;1;A;1;612002.1928;5729041.37581;40316.4;f
44;1;1;1;A;1;612005.14015;5729042.23048;40316.6;f
45;1;1;1;A;1;612008.22157;5729042.97684;40316.8;f
46;1;1;1;A;1;612011.19334;5729043.60957;40317;f
47;1;1;1;A;1;612014.21497;5729044.23298;40317.2;f
48;1;1;1;A;1;612017.18249;5729044.7543;40317.4;f
49;1;1;1;A;1;612020.27158;5729045.1671;40317.6;f
50;1;1;1;A;1;612023.31092;5729045.56838;40317.8;f
51;1;1;1;A;1;612026.40431;5729046.07173;40318;f
52;1;1;1;A;1;612029.50395;5729046.58562;40318.2;f
53;1;1;1;A;1;612032.66623;5729047.10091;40318.4;f
54;1;1;1;A;1;612035.83272;5729047.71716;40318.6;f
55;1;1;1;A;1;612038.9362;5729048.34238;40318.8;f
56;1;1;1;A;1;612042.03125;5729049.06832;40319;f
57;1;1;1;A;1;612045.12595;5729049.80464;40319.2;f
58;1;1;1;A;1;612048.21602;5729050.74255;40319.4;f
59;1;1;1;A;1;612051.24088;5729051.8007;40319.6;f
60;1;1;1;A;1;612054.13153;5729052.96713;40319.8;f
61;1;1;1;A;1;612056.81664;5729054.34112;40320;f
62;1;1;1;A;1;612059.41254;5729056.03651;40320.2;f
63;1;1;1;A;1;612061.68361;5729057.95762;40320.4;f
64;1;1;1;A;1;612063.72727;5729060.19705;40320.6;t
65;1;1;1;A;1;612065.49798;5729062.56238;40320.8;f
66;1;1;1;A;1;612067.17788;5729065.03716;40321;f
67;1;1;1;A;1;612068.53336;5729067.71677;40321.2;f
